195;"Отвертка 2-х стор.""ЕРМАК"" 6х75 /12*";21;
196;Отвертка 3,0*75 мм Matrix (-);18;
197;Отвертка  5*125(-)/12*;14;
198;Отвертка 5*125(+)/12*;14;
199;Отвертка 5*150 бибер;30;
200;Отвертка 6 насадок в ручке магнитная;52;
201;Отвертка Ермак 4*75мм(-);27;
202;Отвертка Ермак 4*75мм(+);27;
203;Отвертка Ермак 4*100 мм (-);16;
204;Отвертка Ермак 5*100 (-);24;
205;Отвертка Ермак 5*100 (+);24;
206;Отвертка Ермак 5*150 (-);20;
207;Отвертка Ермак 5*150 (+);20;
208;Отвертка Ермак 5*200мм (+);22;
209;Отвертка Ермак 5*200мм(-)/12*;22;
210;Отвертка Ермак 6*100 (-);21;
211;Отвертка Ермак 6*100 (+);21;
212;Отвертка Ермак 6*150 (+);24,5;
213;Отвертка Ермак 6*150мм (-)/12*;24;
214;Отвертка Ермак 8*150 (+);32;
215;Отвертка Ермак 8*150мм (-);32;
216;Отвертка Ермак 8*200мм (-);29,5;
217;Отвертка Ермак комбинированная 6*150;48;
218;Отвертка многофункц. 23 пр.;170;
219;Отвертка под ключ 6*150мм;49;
220;Отвертка пробник 100-500В;12;
221;Отвертка-пробник 12-220В с жидкокристалл. дисплеем.;41;
222;Отвертка с набором бит 31пр;175;
223;Отвертка Т- образная;54;
224;Отвертка ударная;166,5;
225;Сверла;;
226;"Биты ""Matrix"" 6шт+магнитн. держатель";55;
227;Биты;75;
228;Биты №1;40;
229;Биты №2;35;
230;Биты Ермак 18пр 657008;252;
231;Бур Ермак 10*210мм;37;
232;Бур 10*250/310мм;40;
233;Бур 10*460;72;
234;Бур Ермак SDS-Plus D10x160мм;32,3;
235;Бур Ермак SDS-PLUS D10x260мм;48;
236;Бур 12*210мм;39,5;
237;Бур 12*600;118;
238;Бур 14*210мм;45;
239;Бур 14*260;52;
240;Бур 14*310 мм;61;
241;Бур 14*410мм;82;
242;Бур 16*400мм;145;
243;Бур 16*800;250;
244;Бур 18*600мм;159;
245;Бур 22*600;359;
246;Бур 4*110мм;18,2;
247;Бур 5*160мм;24;
248;Бур Ермак SDS-PLUS D6*160 мм;21,5;
249;Бур 6*210мм;29;
250;Бур 6*260мм;38;
251;Бур Ермак SDS-PLUS D 6*50/110мм;23;
252;Бур 8*110мм;23,15;
253;Бур Ермак SDS-PLUS D8*160мм.;25,5;
254;Бур 8*210мм;34;
255;Бур 8*260;34,5;
256;Бур матрикс 14*150мм;39;
257;Бур матрикс 6*210мм;38,7;
258;Бур матрикс 8*210мм;36,5;
259;Набор сверл 19пр;297;
260;Набор сверл 2-8;122;
261;Набор сверл нитридт. по металлу 3-4-5-6-8;91;
262;Набор сверл перьевых 6пр.;67;
263;Набор сверл по комбинир 4-5-6-8-10мм 5шт;85;
264;Набор сверл Форстнера 15-35мм;276;
265;Насадка д/кровельных саморезов 10мм;95;
266;Насадка д/кровельных саморезов 8мм;100;
267;Сверло по бет. 10*120мм;10,5;
268;Сверло по бет. 12х150 ЕРМАК;22,5;
269;Сверло по бет. 5*85мм Ермак;11;
270;Сверло по бет. 6*100 Ермак;11,5;
271;Сверло по бет. 6х200 мм ЕРМАК;17;
272;Сверло по бет. 8*120мм Ермак;21;
273;Сверло по бетону 12*150мм;82;
274;Сверло по бетону голден 12*150мм;51;
275;Сверло по бетону голден 4*75мм;15;
276;Сверло по бетону голден 5*85мм;18;
277;Сверло по бетону голден 8*120мм;30;
278;Сверло по дереву 28*152мм;25;
279;Сверло по керамике и стеклу 10мм;42,5;
280;Сверло по керамике и стеклу 4мм;37;
281;Сверло по керамике и стеклу 5мм;38;
282;Сверло по керамике и стеклу 6мм;32;
283;Сверло по керамике и стеклу 8мм;29;
284;Сверло по мет. 1,0мм/10*;41;
285;Сверло по мет. 1,5мм/10*;41;
286;Сверло по мет. 10мм;148;
287;Сверло по мет. 12мм/5*;199;
288;Сверло по мет. 2,0мм/10*;42;
289;Сверло по мет. 2,5мм/10*;50;
290;Сверло по мет. 3,0мм/10*;50;
291;Сверло по мет. 3,2мм/10*;55;
292;Сверло по мет. 3,8мм/10*;65;
293;Сверло по мет. 4,0мм/10*;65;
294;Сверло по мет. 4,2мм/10*;65;
295;Сверло по мет. 4,5мм/10*;76;
